Account Type,Account Address,Original Vesting,Delegated Free,Delegated Vesting,End Time,Start Time,Periods
Periodic,quick1q3aqn5c94tha4pwq5j06d8vpq6sf6akr297v20,468901045uqck,,,1718496000,1671195600,"{length: 7729200, amount: 78150174uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2505600, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050059uqck}"
Periodic,quick1q3a9nggfp94wv6yntjt3xq9wc6gfnnkresw5tj,333333333333uqck,56941150131uqck,333333333333uqck,1765843200,1671195600,"{length: 15678000, amount: 55555555555uqck}; {length: 2592000, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2592000, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2592000, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2505600, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2592000, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2592000, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2592000, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2592000, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2419200, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2592000, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2592000, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2592000, amount: 9259259259uqck}; {length: 2678400, amount: 9259259259uqck}; {length: 2592000, amount: 9259259267uqck}"
Periodic,quick1q5g6dflwnr0sa370ayexp3437wkw67zxfmmeyd,14742248865uqck,,11466248865uqck,1718496000,1671195600,"{length: 7729200, amount: 2457041475uqck}; {length: 2678400, amount: 819013826uqck}; {length: 2592000, amount: 819013826uqck}; {length: 2678400, amount: 819013826uqck}; {length: 2592000, amount: 819013826uqck}; {length: 2678400, amount: 819013826uqck}; {length: 2678400, amount: 819013826uqck}; {length: 2592000, amount: 819013826uqck}; {length: 2678400, amount: 819013826uqck}; {length: 2592000, amount: 819013826uqck}; {length: 2678400, amount: 819013826uqck}; {length: 2678400, amount: 819013826uqck}; {length: 2505600, amount: 819013826uqck}; {length: 2678400, amount: 819013826uqck}; {length: 2592000, amount: 819013826uqck}; {length: 2678400, amount: 819013826uqck}"
Periodic,quick1qhfec27ezd2pv3wtfv55z560me07rk5pzavs00,2081920641uqck,5066130uqck,1734933870uqck,1718496000,1671195600,"{length: 7729200, amount: 346986771uqck}; {length: 2678400, amount: 115662258uqck}; {length: 2592000, amount: 115662258uqck}; {length: 2678400, amount: 115662258uqck}; {length: 2592000, amount: 115662258uqck}; {length: 2678400, amount: 115662258uqck}; {length: 2678400, amount: 115662258uqck}; {length: 2592000, amount: 115662258uqck}; {length: 2678400, amount: 115662258uqck}; {length: 2592000, amount: 115662258uqck}; {length: 2678400, amount: 115662258uqck}; {length: 2678400, amount: 115662258uqck}; {length: 2505600, amount: 115662258uqck}; {length: 2678400, amount: 115662258uqck}; {length: 2592000, amount: 115662258uqck}; {length: 2678400, amount: 115662258uqck}"
Periodic,quick1qh2gu2m27dj2vh3ffnrnwvjk6x4mv0qe9efsel,1176470580000uqck,420000uqck,1176470580000uqck,1872633600,1714867200,"{length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2419200, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2419200, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2419200, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2505600, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2419200, amount: 19607843000uqck}; {length: 2678400, amount: 19607843000uqck}; {length: 2592000, amount: 19607843000uqck}"
Periodic,quick1qhsl69pg3d9kkq295mvhylgpl52kjrnpcwzjl7,24096385542uqck,,,1765843200,1671195600,"{length: 15678000, amount: 4016064257uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2505600, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2419200, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344067uqck}"
Periodic,quick1qh7tmkypevx67s0p2dnfy2vecs3zm7py7mzkq6,468901045uqck,,,1718496000,1671195600,"{length: 7729200, amount: 78150174uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2505600, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050059uqck}"
Periodic,quick1qe8uuf5x69c526h4nzxwv4ltftr73v7qt35tp7,468901045uqck,,467000000uqck,1718496000,1671195600,"{length: 7729200, amount: 78150174uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2505600, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050059uqck}"
Periodic,quick1q6yzxhn2n9shpyhx4smcuhwzcq3pqy3p2xdn3x,11844440405uqck,657460uqck,9212342540uqck,1718496000,1671195600,"{length: 7729200, amount: 1974073398uqck}; {length: 2678400, amount: 658024467uqck}; {length: 2592000, amount: 658024467uqck}; {length: 2678400, amount: 658024467uqck}; {length: 2592000, amount: 658024467uqck}; {length: 2678400, amount: 658024467uqck}; {length: 2678400, amount: 658024467uqck}; {length: 2592000, amount: 658024467uqck}; {length: 2678400, amount: 658024467uqck}; {length: 2592000, amount: 658024467uqck}; {length: 2678400, amount: 658024467uqck}; {length: 2678400, amount: 658024467uqck}; {length: 2505600, amount: 658024467uqck}; {length: 2678400, amount: 658024467uqck}; {length: 2592000, amount: 658024467uqck}; {length: 2678400, amount: 658024469uqck}"
Periodic,quick1qapv0plrwcqeqxefeg20zgr2x5s26f06fptf58,3816854509uqck,212298304uqck,2968664621uqck,1718496000,1671195600,"{length: 7729200, amount: 636142416uqck}; {length: 2678400, amount: 212047472uqck}; {length: 2592000, amount: 212047472uqck}; {length: 2678400, amount: 212047472uqck}; {length: 2592000, amount: 212047472uqck}; {length: 2678400, amount: 212047472uqck}; {length: 2678400, amount: 212047472uqck}; {length: 2592000, amount: 212047472uqck}; {length: 2678400, amount: 212047472uqck}; {length: 2592000, amount: 212047472uqck}; {length: 2678400, amount: 212047472uqck}; {length: 2678400, amount: 212047472uqck}; {length: 2505600, amount: 212047472uqck}; {length: 2678400, amount: 212047472uqck}; {length: 2592000, amount: 212047472uqck}; {length: 2678400, amount: 212047485uqck}"
